"origin" "uniprot" "protein" "description"
"194" "sp" "P29459" "IL12A" " Interleukin-12 subunit alpha OS=Homo sapiens OX=9606 GN=IL12A PE=1 SV=2"
"195" "sp" "P30307" "MPIP3" " M-phase inducer phosphatase 3 OS=Homo sapiens OX=9606 GN=CDC25C PE=1 SV=2"
"196" "sp" "Q86SG5" "S1A7A" " Protein S100-A7A OS=Homo sapiens OX=9606 GN=S100A7A PE=1 SV=3"
"197" "sp" "Q8WVH0" "CPLX3" " Complexin-3 OS=Homo sapiens OX=9606 GN=CPLX3 PE=2 SV=1"
"198" "sp" "Q9BYQ7" "KRA41" " Keratin-associated protein 4-1 OS=Homo sapiens OX=9606 GN=KRTAP4-1 PE=1 SV=3"
"199" "tr" "A0A0A0MT96" "A0A0A0MT96" " Immunoglobulin kappa joining 3 (Fragment) OS=Homo sapiens OX=9606 GN=IGKJ3 PE=4 SV=1"
"200" "tr" "A0A0G2JLE6" "A0A0G2JLE6" " HCG2042992 OS=Homo sapiens OX=9606 GN=KRTAP4-8 PE=1 SV=1"
"201" "sp" "A0A286YFB4" "SCGR2" " Small cysteine and glycine repeat-containing protein 2 OS=Homo sapiens OX=9606 GN=SCYGR2 PE=1 SV=1"
"202" "sp" "O14519" "CDKA1" " Cyclin-dependent kinase 2-associated protein 1 OS=Homo sapiens OX=9606 GN=CDK2AP1 PE=1 SV=1"
"203" "sp" "P62861" "RS30" " FAU ubiquitin-like and ribosomal protein S30 OS=Homo sapiens OX=9606 GN=FAU PE=1 SV=2"
"204" "sp" "Q4G0N7" "F229B" " Protein FAM229B OS=Homo sapiens OX=9606 GN=FAM229B PE=1 SV=1"
"205" "sp" "Q6UX39" "AMTN" " Amelotin OS=Homo sapiens OX=9606 GN=AMTN PE=1 SV=1"
"206" "sp" "Q8NA97" "FEAS1" " Putative uncharacterized protein FER1L6-AS1 OS=Homo sapiens OX=9606 GN=FER1L6-AS1 PE=2 SV=1"
"207" "sp" "Q9BZC1" "CELF4" " CUGBP Elav-like family member 4 OS=Homo sapiens OX=9606 GN=CELF4 PE=1 SV=1"
"208" "sp" "Q9H7C4" "SYNCI" " Syncoilin OS=Homo sapiens OX=9606 GN=SYNC PE=1 SV=3"
"209" "sp" "Q9Y3A2" "UTP11" " Probable U3 small nucleolar RNA-associated protein 11 OS=Homo sapiens OX=9606 GN=UTP11 PE=1 SV=2"
"210" "sp" "P0C617" "O5AL1" " Olfactory receptor 5AL1 OS=Homo sapiens OX=9606 GN=OR5AL1 PE=3 SV=2"
"211" "sp" "P14406" "CX7A2" " Cytochrome c oxidase subunit 7A2, mitochondrial OS=Homo sapiens OX=9606 GN=COX7A2 PE=1 SV=1"
"212" "sp" "P61244" "MAX" " Protein max OS=Homo sapiens OX=9606 GN=MAX PE=1 SV=1"
"213" "sp" "Q5JRK9" "GGEE3" " Putative G antigen family E member 3 OS=Homo sapiens OX=9606 GN=PAGE2B PE=3 SV=1"
"214" "sp" "Q9H0L4" "CSTFT" " Cleavage stimulation factor subunit 2 tau variant OS=Homo sapiens OX=9606 GN=CSTF2T PE=1 SV=1"
"215" "sp" "Q9NSD9" "SYFB" " Phenylalanine--tRNA ligase beta subunit OS=Homo sapiens OX=9606 GN=FARSB PE=1 SV=3"
"216" "tr" "A0A075B6Z1" "A0A075B6Z1" " T cell receptor alpha joining 20 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ20 PE=4 SV=1"
"217" "sp" "A0A0A0MT94" "TJB22" " T cell receptor beta joining 2-2 OS=Homo sapiens OX=9606 GN=TRBJ2-2 PE=4 SV=2"
"218" "sp" "A0A2R8Y4L2" "RA1L3" " Heterogeneous nuclear ribonucleoprotein A1-like 3 OS=Homo sapiens OX=9606 GN=HNRNPA1L3 PE=4 SV=1"
"219" "sp" "P63220" "RS21" " 40S ribosomal protein S21 OS=Homo sapiens OX=9606 GN=RPS21 PE=1 SV=1"
"220" "sp" "P81534" "D103A" " Beta-defensin 103 OS=Homo sapiens OX=9606 GN=DEFB103B PE=1 SV=2"
"221" "sp" "Q6PH81" "CP087" " UPF0547 protein C16orf87 OS=Homo sapiens OX=9606 GN=C16orf87 PE=1 SV=1"
"222" "sp" "Q96AJ9" "VTI1A" " Vesicle transport through interaction with t-SNAREs homolog 1A OS=Homo sapiens OX=9606 GN=VTI1A PE=1 SV=2"
"223" "sp" "Q9NQT4" "EXOS5" " Exosome complex component RRP46 OS=Homo sapiens OX=9606 GN=EXOSC5 PE=1 SV=1"
"224" "tr" "A0A075B713" "A0A075B713" " T cell receptor alpha joining 1 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ1 PE=4 SV=1"
"225" "sp" "D0EPY3" "SIM47" " Small integral membrane protein 47 OS=Homo sapiens OX=9606 GN=SMIM47 PE=3 SV=1"
"226" "sp" "P35244" "RFA3" " Replication protein A 14 kDa subunit OS=Homo sapiens OX=9606 GN=RPA3 PE=1 SV=1"
"227" "sp" "P55036" "PSMD4" " 26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMD4 PE=1 SV=1"
"228" "sp" "P55769" "NH2L1" " NHP2-like protein 1 OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=3"
"229" "sp" "Q5K130" "CLU1O" " Putative uncharacterized protein CLLU1-AS1 OS=Homo sapiens OX=9606 GN=CLLU1-AS1 PE=5 SV=1"
"230" "sp" "Q5T751" "LCE1C" " Late cornified envelope protein 1C OS=Homo sapiens OX=9606 GN=LCE1C PE=1 SV=1"
"231" "sp" "Q6QNY1" "BL1S2" " Biogenesis of lysosome-related organelles complex 1 subunit 2 OS=Homo sapiens OX=9606 GN=BLOC1S2 PE=1 SV=1"
"232" "tr" "A0A075B6Z3" "A0A075B6Z3" " T cell receptor alpha joining 6 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ6 PE=4 SV=1"
"233" "sp" "P42830" "CXCL5" " C-X-C motif chemokine 5 OS=Homo sapiens OX=9606 GN=CXCL5 PE=1 SV=1"
"234" "sp" "Q7Z4W3" "KR193" " Keratin-associated protein 19-3 OS=Homo sapiens OX=9606 GN=KRTAP19-3 PE=1 SV=1"
"235" "sp" "Q8WXC3" "PYDC1" " Pyrin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PYDC1 PE=1 SV=1"
"236" "sp" "Q8WZ26" "YS006" " Putative uncharacterized protein PP6455 OS=Homo sapiens OX=9606 GN=PP6455 PE=2 SV=2"
"237" "sp" "Q96A04" "TSACC" " TSSK6-activating co-chaperone protein OS=Homo sapiens OX=9606 GN=TSACC PE=1 SV=1"
"238" "sp" "Q9BYG4" "PAR6G" " Partitioning defective 6 homolog gamma OS=Homo sapiens OX=9606 GN=PARD6G PE=1 SV=1"
"239" "sp" "Q9BYQ9" "KRA48" " Keratin-associated protein 4-8 OS=Homo sapiens OX=9606 GN=KRTAP4-8 PE=2 SV=4"
"240" "sp" "Q9NPJ3" "ACO13" " Acyl-coenzyme A thioesterase 13 OS=Homo sapiens OX=9606 GN=ACOT13 PE=1 SV=1"
"241" "sp" "Q9NRG0" "CHRC1" " Chromatin accessibility complex protein 1 OS=Homo sapiens OX=9606 GN=CHRAC1 PE=1 SV=1"
"242" "sp" "Q9Y272" "RASD1" " Dexamethasone-induced Ras-related protein 1 OS=Homo sapiens OX=9606 GN=RASD1 PE=1 SV=1"
"243" "sp" "O75506" "HSBP1" " Heat shock factor-binding protein 1 OS=Homo sapiens OX=9606 GN=HSBP1 PE=1 SV=1"
"244" "sp" "O75526" "RMXL2" " RNA-binding motif protein, X-linked-like-2 OS=Homo sapiens OX=9606 GN=RBMXL2 PE=1 SV=3"
"245" "sp" "P15514" "AREG" " Amphiregulin OS=Homo sapiens OX=9606 GN=AREG PE=1 SV=2"
"246" "sp" "P27482" "CALL3" " Calmodulin-like protein 3 OS=Homo sapiens OX=9606 GN=CALML3 PE=1 SV=2"
"247" "sp" "Q5QNW6" "H2B2F" " Histone H2B type 2-F OS=Homo sapiens OX=9606 GN=H2BC18 PE=1 SV=3"
"248" "sp" "Q8N8F7" "LSME1" " Leucine-rich single-pass membrane protein 1 OS=Homo sapiens OX=9606 GN=LSMEM1 PE=1 SV=1"
"249" "sp" "Q9NR33" "DPOE4" " DNA polymerase epsilon subunit 4 OS=Homo sapiens OX=9606 GN=POLE4 PE=1 SV=2"
"250" "sp" "Q9UFG5" "CS025" " UPF0449 protein C19orf25 OS=Homo sapiens OX=9606 GN=C19orf25 PE=1 SV=2"
"251" "sp" "O15525" "MAFG" " Transcription factor MafG OS=Homo sapiens OX=9606 GN=MAFG PE=1 SV=1"
"252" "sp" "P01111" "RASN" " GTPase NRas OS=Homo sapiens OX=9606 GN=NRAS PE=1 SV=1"
"253" "sp" "P53597" "SUCA" " Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG1 PE=1 SV=4"
"254" "sp" "P61960" "UFM1" " Ubiquitin-fold modifier 1 OS=Homo sapiens OX=9606 GN=UFM1 PE=1 SV=1"
"255" "sp" "P63173" "RL38" " 60S ribosomal protein L38 OS=Homo sapiens OX=9606 GN=RPL38 PE=1 SV=2"
"256" "sp" "Q5TA82" "LCE2D" " Late cornified envelope protein 2D OS=Homo sapiens OX=9606 GN=LCE2D PE=1 SV=1"
"257" "sp" "Q6ZMV7" "LEKR1" " Protein LEKR1 OS=Homo sapiens OX=9606 GN=LEKR1 PE=2 SV=3"
"258" "sp" "Q8IUB3" "WF10B" " Protein WFDC10B OS=Homo sapiens OX=9606 GN=WFDC10B PE=1 SV=2"
"259" "sp" "Q96AB3" "ISOC2" " Isochorismatase domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ISOC2 PE=1 SV=1"
"260" "sp" "Q9BUP0" "EFHD1" " EF-hand domain-containing protein D1 OS=Homo sapiens OX=9606 GN=EFHD1 PE=1 SV=1"
"261" "sp" "Q9UNZ5" "L10K" " Leydig cell tumor 10 kDa protein homolog OS=Homo sapiens OX=9606 GN=C19orf53 PE=1 SV=1"
"262" "tr" "A0A075B714" "A0A075B714" " T cell receptor alpha joining 7 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ7 PE=4 SV=1"
"263" "tr" "A0A0A0MT69" "A0A0A0MT69" " Immunoglobulin kappa joining 4 (Fragment) OS=Homo sapiens OX=9606 GN=IGKJ4 PE=1 SV=1"
"264" "sp" "P00995" "ISK1" " Serine protease inhibitor Kazal-type 1 OS=Homo sapiens OX=9606 GN=SPINK1 PE=1 SV=2"
"265" "sp" "P0DMU9" "CT45A" " Cancer/testis antigen family 45 member A10 OS=Homo sapiens OX=9606 GN=CT45A10 PE=1 SV=1"
"266" "sp" "P22531" "SPR2E" " Small proline-rich protein 2E OS=Homo sapiens OX=9606 GN=SPRR2E PE=2 SV=2"
"267" "sp" "P49901" "MCSP" " Sperm mitochondrial-associated cysteine-rich protein OS=Homo sapiens OX=9606 GN=SMCP PE=1 SV=2"
"268" "sp" "Q16520" "BATF" " Basic leucine zipper transcriptional factor ATF-like OS=Homo sapiens OX=9606 GN=BATF PE=1 SV=1"
"269" "sp" "Q52MB2" "CC184" " Coiled-coil domain-containing protein 184 OS=Homo sapiens OX=9606 GN=CCDC184 PE=1 SV=2"
"270" "sp" "Q5T753" "LCE1E" " Late cornified envelope protein 1E OS=Homo sapiens OX=9606 GN=LCE1E PE=1 SV=1"
"271" "sp" "Q8IVG9" "HUNIN" " Humanin OS=Homo sapiens OX=9606 GN=MT-RNR2 PE=1 SV=1"
"272" "sp" "Q8WYQ3" "CHC10" " Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial OS=Homo sapiens OX=9606 GN=CHCHD10 PE=1 SV=1"
"273" "sp" "Q9GZP8" "IMUP" " Immortalization up-regulated protein OS=Homo sapiens OX=9606 GN=IMUP PE=1 SV=1"
"274" "tr" "A0A7I2V2S6" "A0A7I2V2S6" " Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1"
"275" "sp" "P10620" "MGST1" " Microsomal glutathione S-transferase 1 OS=Homo sapiens OX=9606 GN=MGST1 PE=1 SV=1"
"276" "sp" "P78346" "RPP30" " Ribonuclease P protein subunit p30 OS=Homo sapiens OX=9606 GN=RPP30 PE=1 SV=1"
"277" "sp" "Q13277" "STX3" " Syntaxin-3 OS=Homo sapiens OX=9606 GN=STX3 PE=1 SV=3"
"278" "sp" "Q6AI39" "BICRL" " BRD4-interacting chromatin-remodeling complex-associated protein-like OS=Homo sapiens OX=9606 GN=BICRAL PE=1 SV=2"
"279" "sp" "Q96K17" "BT3L4" " Transcription factor BTF3 homolog 4 OS=Homo sapiens OX=9606 GN=BTF3L4 PE=1 SV=1"
"280" "tr" "A0A0G2JPN4" "A0A0G2JPN4" " Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1"
"281" "sp" "P24844" "MYL9" " Myosin regulatory light polypeptide 9 OS=Homo sapiens OX=9606 GN=MYL9 PE=1 SV=4"
"282" "sp" "Q2M2E5" "CE064" " Uncharacterized protein C5orf64 OS=Homo sapiens OX=9606 GN=C5orf64 PE=2 SV=2"
"283" "sp" "Q8IY31" "IFT20" " Intraflagellar transport protein 20 homolog OS=Homo sapiens OX=9606 GN=IFT20 PE=1 SV=1"
"284" "sp" "O76070" "SYUG" " Gamma-synuclein OS=Homo sapiens OX=9606 GN=SNCG PE=1 SV=2"
"285" "sp" "Q8IUB9" "KR191" " Keratin-associated protein 19-1 OS=Homo sapiens OX=9606 GN=KRTAP19-1 PE=1 SV=2"
"286" "sp" "Q9UBI6" "GBG12" " Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 OS=Homo sapiens OX=9606 GN=GNG12 PE=1 SV=3"
"287" "sp" "Q9Y2B9" "IPKG" " cAMP-dependent protein kinase inhibitor gamma OS=Homo sapiens OX=9606 GN=PKIG PE=1 SV=1"
"288" "sp" "Q9Y3C4" "TPRKB" " EKC/KEOPS complex subunit TPRKB OS=Homo sapiens OX=9606 GN=TPRKB PE=1 SV=1"
"289" "sp" "Q16553" "LY6E" " Lymphocyte antigen 6E OS=Homo sapiens OX=9606 GN=LY6E PE=1 SV=1"
"290" "sp" "Q9H9S4" "CB39L" " Calcium-binding protein 39-like OS=Homo sapiens OX=9606 GN=CAB39L PE=1 SV=3"
"291" "sp" "G5E9R7" "KR416" " Putative keratin-associated protein 4-16 OS=Homo sapiens OX=9606 GN=KRTAP4-16 PE=5 SV=1"
"292" "sp" "Q9NS25" "SPNXB" " Sperm protein associated with the nucleus on the X chromosome B1 OS=Homo sapiens OX=9606 GN=SPANXB1 PE=1 SV=2"
"293" "sp" "P09012" "SNRPA" " U1 small nuclear ribonucleoprotein A OS=Homo sapiens OX=9606 GN=SNRPA PE=1 SV=3"
"294" "sp" "P62857" "RS28" " 40S ribosomal protein S28 OS=Homo sapiens OX=9606 GN=RPS28 PE=1 SV=1"
"295" "sp" "Q96FW1" "OTUB1" " Ubiquitin thioesterase OTUB1 OS=Homo sapiens OX=9606 GN=OTUB1 PE=1 SV=2"
"296" "tr" "A0A0A0MT92" "A0A0A0MT92" " Immunoglobulin lambda joining 7 (Fragment) OS=Homo sapiens OX=9606 GN=IGLJ7 PE=4 SV=1"
"297" "tr" "A0A494C0B9" "A0A494C0B9" " Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1"
"298" "sp" "P07951" "TPM2" " Tropomyosin beta chain OS=Homo sapiens OX=9606 GN=TPM2 PE=1 SV=1"
"299" "sp" "P58062" "ISK7" " Serine protease inhibitor Kazal-type 7 OS=Homo sapiens OX=9606 GN=SPINK7 PE=1 SV=1"
"300" "sp" "P62750" "RL23A" " 60S ribosomal protein L23a OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1"
"301" "sp" "Q15543" "TAF13" " Transcription initiation factor TFIID subunit 13 OS=Homo sapiens OX=9606 GN=TAF13 PE=1 SV=1"
"302" "sp" "Q8N4T8" "CBR4" " 3-oxoacyl-[acyl-carrier-protein] reductase OS=Homo sapiens OX=9606 GN=CBR4 PE=1 SV=3"
"303" "sp" "Q9NPE3" "NOP10" " H/ACA ribonucleoprotein complex subunit 3 OS=Homo sapiens OX=9606 GN=NOP10 PE=1 SV=1"
"304" "sp" "Q9NUR3" "TM74B" " Transmembrane protein 74B OS=Homo sapiens OX=9606 GN=TMEM74B PE=2 SV=1"
"305" "sp" "P07498" "CASK" " Kappa-casein OS=Homo sapiens OX=9606 GN=CSN3 PE=1 SV=3"
"306" "sp" "P0C6T2" "OST4" " Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4 OS=Homo sapiens OX=9606 GN=OST4 PE=1 SV=1"
"307" "sp" "P18846" "ATF1" " Cyclic AMP-dependent transcription factor ATF-1 OS=Homo sapiens OX=9606 GN=ATF1 PE=1 SV=2"
"308" "sp" "P40926" "MDHM" " Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3"
"309" "sp" "P62854" "RS26" " 40S ribosomal protein S26 OS=Homo sapiens OX=9606 GN=RPS26 PE=1 SV=3"
"310" "sp" "P63316" "TNNC1" " Troponin C, slow skeletal and cardiac muscles OS=Homo sapiens OX=9606 GN=TNNC1 PE=1 SV=1"
"311" "sp" "Q96AT1" "K1143" " Uncharacterized protein KIAA1143 OS=Homo sapiens OX=9606 GN=KIAA1143 PE=1 SV=2"
"312" "tr" "A0A0A0MTA1" "A0A0A0MTA1" " Immunoglobulin lambda joining 4 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=IGLJ4 PE=4 SV=1"
"313" "sp" "O15116" "LSM1" " U6 snRNA-associated Sm-like protein LSm1 OS=Homo sapiens OX=9606 GN=LSM1 PE=1 SV=1"
"314" "sp" "Q7Z4B0" "CR020" " Putative uncharacterized protein encoded by LINC00305 OS=Homo sapiens OX=9606 GN=LINC00305 PE=5 SV=1"
"315" "sp" "A0A0A0MT70" "TJB26" " T cell receptor beta joining 2-6 OS=Homo sapiens OX=9606 GN=TRBJ2-6 PE=4 SV=2"
"316" "sp" "A0A804HLA8" "GBG5B" " Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5B OS=Homo sapiens OX=9606 GN=GNG5B PE=3 SV=1"
"317" "sp" "O60262" "GBG7" " Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7 OS=Homo sapiens OX=9606 GN=GNG7 PE=1 SV=1"
"318" "sp" "P05976" "MYL1" " Myosin light chain 1/3, skeletal muscle isoform OS=Homo sapiens OX=9606 GN=MYL1 PE=1 SV=3"
"319" "sp" "P07148" "FABPL" " Fatty acid-binding protein, liver OS=Homo sapiens OX=9606 GN=FABP1 PE=1 SV=1"
"320" "sp" "Q5HYN5" "CT451" " Cancer/testis antigen family 45 member A1 OS=Homo sapiens OX=9606 GN=CT45A1 PE=1 SV=1"
"321" "sp" "Q9BY60" "GBRL3" " Gamma-aminobutyric acid receptor-associated protein-like 3 OS=Homo sapiens OX=9606 GN=GABARAPL3 PE=2 SV=1"
"322" "sp" "A0A1W2PQJ5" "S72L3" " RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 3 OS=Homo sapiens OX=9606 GN=SSU72L3 PE=3 SV=1"
"323" "tr" "A0N4Z8" "A0N4Z8" " HCG2039779 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ9 PE=4 SV=1"
"324" "sp" "A6NFF2" "NP1L6" " Putative nucleosome assembly protein 1-like 6 OS=Homo sapiens OX=9606 GN=NAP1L6P PE=5 SV=1"
"325" "sp" "P61254" "RL26" " 60S ribosomal protein L26 OS=Homo sapiens OX=9606 GN=RPL26 PE=1 SV=1"
"326" "sp" "Q16778" "H2B2E" " Histone H2B type 2-E OS=Homo sapiens OX=9606 GN=H2BC21 PE=1 SV=3"
"327" "sp" "Q86SY8" "KTAS1" " Putative uncharacterized protein KTN1-AS1 OS=Homo sapiens OX=9606 GN=KTN1-AS1 PE=5 SV=2"
"328" "sp" "Q9UI54" "YT001" " Putative uncharacterized protein PRO0628 OS=Homo sapiens OX=9606 GN=PRO0628 PE=5 SV=1"
"329" "tr" "A0A5H1ZRR4" "A0A5H1ZRR4" " T cell receptor gamma joining 2 (Fragment) OS=Homo sapiens OX=9606 GN=TRGJ2 PE=4 SV=1"
"330" "tr" "A0A8I5KTY6" "A0A8I5KTY6" " HCG1646484 OS=Homo sapiens OX=9606 GN=ZKSCAN8P1 PE=4 SV=1"
"331" "sp" "A8MT69" "CENPX" " Centromere protein X OS=Homo sapiens OX=9606 GN=CENPX PE=1 SV=1"
"332" "sp" "P37108" "SRP14" " Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=2"
"333" "sp" "P42677" "RS27" " 40S ribosomal protein S27 OS=Homo sapiens OX=9606 GN=RPS27 PE=1 SV=3"
"334" "sp" "Q8NGF7" "OR5BH" " Olfactory receptor 5B17 OS=Homo sapiens OX=9606 GN=OR5B17 PE=3 SV=1"
"335" "sp" "Q9UL45" "BL1S6" " Biogenesis of lysosome-related organelles complex 1 subunit 6 OS=Homo sapiens OX=9606 GN=BLOC1S6 PE=1 SV=1"
"336" "sp" "P09669" "COX6C" " Cytochrome c oxidase subunit 6C OS=Homo sapiens OX=9606 GN=COX6C PE=1 SV=2"
"337" "sp" "P20962" "PTMS" " Parathymosin OS=Homo sapiens OX=9606 GN=PTMS PE=1 SV=2"
"338" "sp" "Q16831" "UPP1" " Uridine phosphorylase 1 OS=Homo sapiens OX=9606 GN=UPP1 PE=1 SV=1"
"339" "sp" "Q5JNZ5" "RS26L" " Putative 40S ribosomal protein S26-like 1 OS=Homo sapiens OX=9606 GN=RPS26P11 PE=5 SV=1"
"340" "sp" "Q6L8H1" "KRA54" " Keratin-associated protein 5-4 OS=Homo sapiens OX=9606 GN=KRTAP5-4 PE=1 SV=1"
"341" "sp" "Q9H609" "ZN576" " Zinc finger protein 576 OS=Homo sapiens OX=9606 GN=ZNF576 PE=1 SV=1"
"342" "sp" "P0DP24" "CALM2" " Calmodulin-2 OS=Homo sapiens OX=9606 GN=CALM2 PE=1 SV=1"
"343" "sp" "Q6L8H2" "KRA53" " Keratin-associated protein 5-3 OS=Homo sapiens OX=9606 GN=KRTAP5-3 PE=1 SV=1"
"344" "sp" "Q6ZSR9" "YJ005" " Uncharacterized protein FLJ45252 OS=Homo sapiens OX=9606 PE=2 SV=2"
"345" "sp" "Q8NFJ8" "BHE22" " Class E basic helix-loop-helix protein 22 OS=Homo sapiens OX=9606 GN=BHLHE22 PE=2 SV=1"
"346" "sp" "Q96MT0" "YJ006" " Putative uncharacterized protein FLJ31958 OS=Homo sapiens OX=9606 PE=2 SV=1"
"347" "sp" "P05114" "HMGN1" " Non-histone chromosomal protein HMG-14 OS=Homo sapiens OX=9606 GN=HMGN1 PE=1 SV=3"
"348" "sp" "P19105" "ML12A" " Myosin regulatory light chain 12A OS=Homo sapiens OX=9606 GN=MYL12A PE=1 SV=2"
"349" "sp" "Q8NHC4" "O10J5" " Olfactory receptor 10J5 OS=Homo sapiens OX=9606 GN=OR10J5 PE=1 SV=1"
"350" "sp" "A8K830" "OCAT2" " POU class 2 homeobox associating factor 3 OS=Homo sapiens OX=9606 GN=POU2AF3 PE=1 SV=2"
"351" "sp" "P0C841" "FA66E" " Putative protein FAM66E OS=Homo sapiens OX=9606 GN=FAM66E PE=5 SV=1"
"352" "sp" "Q6UW10" "SFTA2" " Surfactant-associated protein 2 OS=Homo sapiens OX=9606 GN=SFTA2 PE=1 SV=1"
"353" "sp" "Q9UHA4" "LTOR3" " Ragulator complex protein LAMTOR3 OS=Homo sapiens OX=9606 GN=LAMTOR3 PE=1 SV=1"
"354" "sp" "Q9UL33" "TPC2L" " Trafficking protein particle complex subunit 2-like protein OS=Homo sapiens OX=9606 GN=TRAPPC2L PE=1 SV=1"
"355" "tr" "A0A8Q3WLD3" "A0A8Q3WLD3" " Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1"
"356" "sp" "P07910" "HNRPC" " Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4"
"357" "sp" "P0C864" "DANCR" " Putative uncharacterized protein DANCR OS=Homo sapiens OX=9606 GN=DANCR PE=5 SV=1"
"358" "sp" "P52434" "RPAB3" " DNA-directed RNA polymerases I, II, and III subunit RPABC3 OS=Homo sapiens OX=9606 GN=POLR2H PE=1 SV=4"
"359" "sp" "P62280" "RS11" " 40S ribosomal protein S11 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3"
"360" "sp" "Q3LHN2" "KR192" " Keratin-associated protein 19-2 OS=Homo sapiens OX=9606 GN=KRTAP19-2 PE=1 SV=1"
"361" "sp" "Q8TDB4" "HUMMR" " Protein MGARP OS=Homo sapiens OX=9606 GN=MGARP PE=1 SV=1"
"362" "tr" "A0A075B6X4" "A0A075B6X4" " T cell receptor alpha joining 28 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ28 PE=4 SV=1"
"363" "sp" "P00492" "HPRT" " Hypoxanthine-guanine phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=HPRT1 PE=1 SV=2"
"364" "sp" "P0CJ68" "HMN1" " Humanin-like 1 OS=Homo sapiens OX=9606 GN=MTRNR2L1 PE=2 SV=1"
"365" "sp" "P25205" "MCM3" " DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3"
"366" "sp" "Q9BXN6" "SPNXD" " Sperm protein associated with the nucleus on the X chromosome D OS=Homo sapiens OX=9606 GN=SPANXD PE=1 SV=1"
"367" "sp" "S4R3P1" "HMN13" " Humanin-like 13 OS=Homo sapiens OX=9606 GN=MTRNR2L13 PE=3 SV=1"
"368" "tr" "A0A0A0MT82" "A0A0A0MT82" " Immunoglobulin lambda joining 2 (Fragment) OS=Homo sapiens OX=9606 GN=IGLJ2 PE=4 SV=1"
"369" "sp" "O43633" "CHM2A" " Charged multivesicular body protein 2a OS=Homo sapiens OX=9606 GN=CHMP2A PE=1 SV=1"
"370" "sp" "P0C5Z0" "H2AB2" " Histone H2A-Bbd type 2/3 OS=Homo sapiens OX=9606 GN=H2AB3 PE=1 SV=1"
"371" "sp" "Q3LI58" "KR211" " Keratin-associated protein 21-1 OS=Homo sapiens OX=9606 GN=KRTAP21-1 PE=3 SV=1"
"372" "sp" "Q5DT21" "ISK9" " Serine protease inhibitor Kazal-type 9 OS=Homo sapiens OX=9606 GN=SPINK9 PE=1 SV=1"
"373" "sp" "P60022" "DEFB1" " Beta-defensin 1 OS=Homo sapiens OX=9606 GN=DEFB1 PE=1 SV=1"
"374" "sp" "Q13227" "GPS2" " G protein pathway suppressor 2 OS=Homo sapiens OX=9606 GN=GPS2 PE=1 SV=3"
"375" "sp" "Q13432" "U119A" " Protein unc-119 homolog A OS=Homo sapiens OX=9606 GN=UNC119 PE=1 SV=1"
"376" "sp" "Q6EEV6" "SUMO4" " Small ubiquitin-related modifier 4 OS=Homo sapiens OX=9606 GN=SUMO4 PE=1 SV=3"
"377" "sp" "Q92572" "AP3S1" " AP-3 complex subunit sigma-1 OS=Homo sapiens OX=9606 GN=AP3S1 PE=1 SV=1"
"378" "tr" "A0A075B6Y0" "A0A075B6Y0" " T cell receptor alpha joining 49 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ49 PE=4 SV=1"
"379" "sp" "O00442" "RTCA" " RNA 3'-terminal phosphate cyclase OS=Homo sapiens OX=9606 GN=RTCA PE=1 SV=1"
"380" "sp" "O14604" "TYB4Y" " Thymosin beta-4, Y-chromosomal OS=Homo sapiens OX=9606 GN=TMSB4Y PE=1 SV=3"
